Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,2.556,503.7,50.0
2,7.278,370.4,50.0
3,7.778,370.4,50.0
4,8.389,1985.2,50.0
5,12.500,385.2,50.0
6,14.444,370.4,50.0
7,16.611,511.1,50.0
8,18.556,488.9,50.0
9,19.889,800.0,50.0
10,27.111,466.7,50.0
11,29.389,659.3,50.0
12,39.833,377.8,50.0
