Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,4.000,429.6,50.0
2,10.111,2059.3,50.0
3,12.611,370.4,50.0
4,13.556,518.5,50.0
5,14.500,696.3,50.0
6,16.222,985.2,50.0
7,18.389,1496.3,50.0
8,21.278,2111.1,50.0
9,22.389,2266.7,50.0
10,25.333,985.2,50.0
11,27.278,1096.3,50.0
12,31.389,325.9,50.0
13,32.556,451.9,50.0
14,33.000,629.6,50.0
15,33.778,577.8,50.0
16,36.111,548.1,50.0
17,37.389,214.8,50.0
18,40.167,348.1,50.0
19,42.111,429.6,50.0
20,44.500,377.8,50.0
