Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.271,2222.8,50.0
2,8.177,804.9,50.0
3,9.171,1388.3,50.0
4,14.530,782.8,50.0
5,16.133,893.5,50.0
6,18.011,893.5,50.0
7,20.994,627.7,50.0
8,25.967,694.2,50.0
9,34.862,804.9,50.0
