Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,4.199,435.7,50.0
2,10.276,2060.3,50.0
3,12.762,376.6,50.0
4,13.702,524.3,50.0
5,14.641,701.5,50.0
6,16.354,989.5,50.0
7,18.508,1499.1,50.0
8,19.392,339.7,50.0
9,21.381,2112.0,50.0
10,22.486,2267.1,50.0
11,25.414,989.5,50.0
12,27.348,1100.3,50.0
13,31.436,332.3,50.0
14,32.597,457.8,50.0
15,33.039,635.1,50.0
16,33.812,583.4,50.0
17,36.133,553.8,50.0
18,37.403,221.5,50.0
19,40.166,354.5,50.0
20,42.099,435.7,50.0
21,44.475,384.0,50.0
