Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,5.960,4022.3,50.0
2,8.038,1433.9,50.0
3,9.023,1303.5,50.0
4,9.788,1201.1,50.0
5,10.390,2635.0,50.0
6,10.854,1759.8,50.0
7,13.561,1135.9,50.0
8,16.186,1471.1,50.0
9,16.733,1331.5,50.0
10,20.971,1275.6,50.0
11,23.322,1229.1,50.0
12,25.455,1182.5,50.0
13,29.501,1089.4,50.0
14,30.048,1033.5,50.0
15,30.321,1024.2,50.0
16,31.688,1117.3,50.0
17,33.274,1098.7,50.0
18,34.340,1014.9,50.0
