Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.285,4366.9,50.0
2,2.816,1880.8,50.0
3,5.359,391.1,50.0
4,7.163,2942.3,50.0
5,9.870,1461.8,50.0
6,11.128,810.1,50.0
7,11.647,670.4,50.0
8,11.948,679.7,50.0
9,13.698,2113.6,50.0
10,14.272,2039.1,50.0
11,14.792,1517.7,50.0
12,16.377,800.7,50.0
13,17.990,3743.0,50.0
14,18.947,1564.2,50.0
15,19.795,1312.8,50.0
16,21.381,1266.3,50.0
17,21.900,642.5,50.0
18,22.420,474.9,50.0
19,24.224,633.1,50.0
20,24.826,689.0,50.0
21,25.290,735.6,50.0
22,26.165,363.1,50.0
23,27.806,996.3,50.0
24,29.282,465.5,50.0
25,32.727,530.7,50.0
26,33.329,428.3,50.0
27,33.848,400.4,50.0
28,36.582,391.1,50.0
