Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,3.636,3212.3,50.0
2,11.073,847.3,50.0
3,11.729,1517.7,50.0
4,12.686,605.2,50.0
5,14.545,865.9,50.0
6,15.475,810.1,50.0
7,23.377,977.7,50.0
8,27.068,754.2,50.0
9,29.528,540.0,50.0
