Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,6.671,4590.3,50.0
2,8.530,4655.5,50.0
3,10.526,4618.2,50.0
4,11.511,4655.5,50.0
5,12.386,4655.5,50.0
6,14.819,4599.6,50.0
7,16.323,4590.3,50.0
8,17.006,4590.3,50.0
9,17.416,4581.0,50.0
10,18.947,4590.3,50.0
11,19.877,4655.5,50.0
12,20.178,4655.5,50.0
13,21.681,4655.5,50.0
14,21.928,4590.3,50.0
15,22.146,4590.3,50.0
16,24.060,4627.6,50.0
17,26.083,4599.6,50.0
18,26.794,4655.5,50.0
19,27.724,4655.5,50.0
20,28.900,4618.2,50.0
21,29.474,4590.3,50.0
22,29.720,4590.3,50.0
23,30.130,4646.2,50.0
24,30.622,4655.5,50.0
25,31.360,4599.6,50.0
26,33.356,4646.2,50.0
27,34.122,4599.6,50.0
