Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.504,176.9,50.0
2,8.284,446.9,50.0
3,9.460,102.4,50.0
4,12.303,158.3,50.0
5,18.072,456.2,50.0
6,19.522,502.8,50.0
7,27.286,288.6,50.0
8,30.021,167.6,50.0
