Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,3.992,270.0,50.0
2,11.319,772.8,50.0
3,13.096,1592.2,50.0
4,19.248,1052.1,50.0
5,21.025,856.6,50.0
6,22.775,856.6,50.0
7,27.779,456.2,50.0
