Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,4.703,1294.2,50.0
2,5.550,1303.5,50.0
3,8.312,4124.8,50.0
4,10.116,1731.8,50.0
5,14.245,1396.6,50.0
6,17.198,2430.2,50.0
7,18.209,1638.7,50.0
8,20.588,1741.2,50.0
9,23.158,1284.9,50.0
10,23.650,1424.6,50.0
11,25.919,1108.0,50.0
12,26.439,1173.2,50.0
13,27.642,1052.1,50.0
14,29.993,1098.7,50.0
15,31.524,1145.3,50.0
16,33.192,912.5,50.0
17,34.012,1080.1,50.0
