Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.531,4608.9,50.0
2,3.035,4608.9,50.0
3,6.480,4608.9,50.0
4,6.726,4608.9,50.0
5,7.956,4608.9,50.0
6,9.187,4608.9,50.0
7,10.171,4608.9,50.0
8,10.417,4608.9,50.0
9,11.647,4608.9,50.0
10,12.632,4608.9,50.0
11,13.862,4608.9,50.0
12,16.323,4608.9,50.0
13,16.569,4608.9,50.0
14,17.799,4608.9,50.0
15,18.537,4608.9,50.0
16,20.014,4608.9,50.0
17,20.260,4608.9,50.0
18,21.217,4608.9,50.0
19,21.490,4608.9,50.0
20,22.228,4608.9,50.0
21,22.474,4608.9,50.0
22,23.459,4608.9,50.0
23,23.705,4608.9,50.0
24,23.951,4608.9,50.0
25,26.165,4608.9,50.0
26,26.411,4608.9,50.0
27,27.122,4608.9,50.0
28,27.642,4608.9,50.0
29,28.872,4608.9,50.0
30,29.856,4608.9,50.0
31,31.333,4608.9,50.0
32,31.798,4608.9,50.0
33,32.071,4608.9,50.0
34,32.317,4608.9,50.0
35,32.563,4608.9,50.0
36,33.301,4608.9,50.0
37,33.794,4608.9,50.0
38,36.008,4608.9,50.0
39,36.254,4608.9,50.0
40,36.500,4608.9,50.0
41,37.485,4608.9,50.0
