Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,0.711,1769.1,50.0
2,8.476,1396.6,50.0
3,11.647,1489.8,50.0
4,15.748,828.7,50.0
5,19.357,856.6,50.0
6,22.338,800.7,50.0
7,23.158,1126.6,50.0
8,30.977,1108.0,50.0
9,33.247,651.8,50.0
