Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,6.890,689.0,50.0
2,7.710,1033.5,50.0
3,9.679,856.6,50.0
4,11.100,2374.3,50.0
5,11.948,763.5,50.0
6,12.331,502.8,50.0
7,14.737,921.8,50.0
8,15.557,149.0,50.0
9,26.029,102.4,50.0
