Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,2.898,4692.7,50.0
2,8.859,707.6,50.0
3,15.065,2011.2,50.0
4,17.662,1843.6,50.0
5,19.057,2551.2,50.0
6,20.150,3277.5,50.0
7,21.572,2597.8,50.0
8,22.283,1284.9,50.0
9,24.005,1769.1,50.0
10,24.880,903.2,50.0
11,25.400,1387.3,50.0
12,26.138,1368.7,50.0
13,27.560,1657.4,50.0
14,35.461,959.0,50.0
