Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.969,4692.7,50.0
2,11.073,940.4,50.0
3,20.096,921.8,50.0
4,21.545,1163.9,50.0
5,29.091,884.5,50.0
6,31.032,1480.4,50.0
7,33.821,884.5,50.0
