Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,3.554,1452.5,50.0
2,5.687,3743.0,50.0
3,13.889,1108.0,50.0
4,19.604,1275.6,50.0
5,21.955,1191.8,50.0
