Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,3.636,1731.8,50.0
2,4.648,4646.2,50.0
3,5.769,428.3,50.0
4,9.761,288.6,50.0
5,16.569,214.2,50.0
6,17.225,363.1,50.0
7,18.729,316.6,50.0
8,29.829,93.1,50.0
9,33.548,93.1,50.0
10,34.067,83.8,50.0
