Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,5.605,2476.7,50.0
2,8.120,1722.5,50.0
3,9.405,2197.4,50.0
4,11.265,3798.9,50.0
5,12.249,772.8,50.0
6,13.233,2514.0,50.0
7,15.038,772.8,50.0
8,17.690,1489.8,50.0
9,18.783,1480.4,50.0
10,20.068,3007.4,50.0
11,21.545,4646.2,50.0
12,23.404,2206.7,50.0
13,24.908,2662.9,50.0
14,27.286,242.1,50.0
15,29.556,1489.8,50.0
16,30.075,1378.0,50.0
17,31.032,419.0,50.0
18,31.716,1145.3,50.0
19,32.399,828.7,50.0
20,34.094,344.5,50.0
21,34.614,614.5,50.0
22,35.434,149.0,50.0
23,39.152,214.2,50.0
24,39.535,121.0,50.0
