Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.805,4460.0,50.0
2,14.272,847.3,50.0
3,17.061,158.3,50.0
4,18.428,446.9,50.0
5,20.178,260.7,50.0
