Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,4.621,1610.8,50.0
2,8.011,847.3,50.0
3,11.675,838.0,50.0
4,14.491,865.9,50.0
5,17.635,1014.9,50.0
6,18.401,670.4,50.0
7,19.357,791.4,50.0
8,20.314,800.7,50.0
9,21.517,744.9,50.0
10,23.869,828.7,50.0
