Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,2.570,1731.8,50.0
2,3.800,1620.1,50.0
3,6.343,1229.1,50.0
4,8.804,1741.2,50.0
5,9.569,1461.8,50.0
6,10.226,1545.6,50.0
7,11.866,949.7,50.0
8,12.659,4208.6,50.0
9,14.463,1201.1,50.0
10,19.385,912.5,50.0
11,22.474,912.5,50.0
12,25.455,875.2,50.0
13,26.794,903.2,50.0
14,29.337,921.8,50.0
15,30.458,1005.6,50.0
