Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,6.644,679.7,50.0
2,8.011,512.1,50.0
3,21.326,791.4,50.0
4,23.623,1080.1,50.0
5,31.415,176.9,50.0
