Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,10.062,2150.8,50.0
2,12.659,1424.6,50.0
3,15.229,2560.5,50.0
4,21.189,3016.8,50.0
5,28.626,1527.0,50.0
