Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,6.535,1266.3,50.0
2,7.656,2355.7,50.0
3,8.612,3426.4,50.0
4,10.854,1163.9,50.0
5,14.409,1201.1,50.0
6,15.666,931.1,50.0
7,16.569,1014.9,50.0
8,17.170,800.7,50.0
9,18.592,1117.3,50.0
10,20.971,1108.0,50.0
11,24.662,1117.3,50.0
12,27.232,1042.8,50.0
13,28.243,819.4,50.0
