Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,7.218,614.5,50.0
2,7.765,568.0,50.0
3,10.882,465.5,50.0
4,15.092,800.7,50.0
5,22.201,540.0,50.0
