Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,2.488,949.7,50.0
2,3.718,819.4,50.0
3,4.211,810.1,50.0
4,9.569,353.8,50.0
5,11.155,595.9,50.0
6,12.331,409.7,50.0
7,17.280,512.1,50.0
8,17.936,549.3,50.0
9,18.510,595.9,50.0
10,20.342,633.1,50.0
11,29.474,465.5,50.0
12,35.024,363.1,50.0
